generated_at,2026-01-30T08:07:40.738649+00:00
area,simulation_id,resolution_m,model,peak_intensity_mmh,total_precip_mm,file_rel_path,file_size_bytes,sha256
CREXDATA_Dortmund_DRZ,simulation-f4977cbd-3391-46e9-a968-e29268628eb2,4,deepwaive-5.1,110.0,110.0,CREXDATA_Dortmund_DRZ/simulation-f4977cbd-3391-46e9-a968-e29268628eb2/max_water_levels.tif,9355548,5bd3c456c8ec76ecc0c85558103b97a654e886c23e3fdbadc04028f45fb4908d
CREXDATA_Innsbruck,simulation-27e8e95a-b38d-40b7-b35c-4f3b58f98a25,1,deepwaive-5.1,90.0,90.0,CREXDATA_Innsbruck/simulation-27e8e95a-b38d-40b7-b35c-4f3b58f98a25/max_water_levels.tif,54396986,82cf2f5eb4cedce1b41039c3fb3227985aee24d7e09df8003fd0a9220bf8bdd5
CREXDATA_Innsbruck,simulation-41373cad-30a8-4fb6-8a73-83a239e642d1,1,deepwaive-5.1,90.0,90.0,CREXDATA_Innsbruck/simulation-41373cad-30a8-4fb6-8a73-83a239e642d1/max_water_levels.tif,38252182,1e99d9c4f98d8956cb248d8793ea1de4fbb0d53b150663295298ddf2c1477acc
CREXDATA_Innsbruck,simulation-4da68957-54f6-4668-aabc-277ef98749d5,1,deepwaive-5.1,90.0,90.0,CREXDATA_Innsbruck/simulation-4da68957-54f6-4668-aabc-277ef98749d5/max_water_levels.tif,38218096,84de4ba1dd901eb8c34c523a14324aa6cc0c3cf6b5bc67ba10c8ed974f73c2a7
CREXDATA_Innsbruck,simulation-50096bce-03d4-44ad-9688-aade6bb0d0a6,4,deepwaive-5.1,30.0,30.0,CREXDATA_Innsbruck/simulation-50096bce-03d4-44ad-9688-aade6bb0d0a6/max_water_levels.tif,2478877,e66ba4a7c0777a75ac28f4c09a8298c6c186d2796ea31261cc652856e50e1da1
CREXDATA_Innsbruck,simulation-52561ea4-3167-43d7-b7d9-4816827e2051,1,deepwaive-5.1,87.6,26.3,CREXDATA_Innsbruck/simulation-52561ea4-3167-43d7-b7d9-4816827e2051/max_water_levels.tif,21425411,d2bab67bbe0cd8322c416576e6a4510874312fcb76eb601e19b5a69deb45acd3
CREXDATA_Innsbruck,simulation-59e0d485-6f2b-403f-b970-29dfd503d350,1,deepwaive-5.1,90.0,90.0,CREXDATA_Innsbruck/simulation-59e0d485-6f2b-403f-b970-29dfd503d350/max_water_levels.tif,54407249,67d9a2137c28bacc7a17e501a0df3f813f77d77057b05f74cb4b7c23866f0392
CREXDATA_Innsbruck,simulation-771f1d9f-ad80-4b58-87ae-d01eec6a74c6,1,deepwaive-5.1-s3,90.0,90.0,CREXDATA_Innsbruck/simulation-771f1d9f-ad80-4b58-87ae-d01eec6a74c6/max_water_levels.tif,58747174,a9aa0a635504f95fee6e33086961abe6f8b1fb262c6ad3f736497064482a002b
CREXDATA_Innsbruck,simulation-7bdf31db-e0bf-44c5-bcb7-40a0a9bac1f3,1,deepwaive-5.1,87.6,26.3,CREXDATA_Innsbruck/simulation-7bdf31db-e0bf-44c5-bcb7-40a0a9bac1f3/max_water_levels.tif,21425411,d2bab67bbe0cd8322c416576e6a4510874312fcb76eb601e19b5a69deb45acd3
CREXDATA_Innsbruck,simulation-82d84778-d03d-43b9-92e8-302fa4286588,1,deepwaive-5.1-s3,90.0,90.0,CREXDATA_Innsbruck/simulation-82d84778-d03d-43b9-92e8-302fa4286588/max_water_levels.tif,58747174,a9aa0a635504f95fee6e33086961abe6f8b1fb262c6ad3f736497064482a002b
CREXDATA_Innsbruck,simulation-c8bca583-b41c-41a5-8528-8580445d9420,1,deepwaive-5.1,90.0,90.0,CREXDATA_Innsbruck/simulation-c8bca583-b41c-41a5-8528-8580445d9420/max_water_levels.tif,38252182,1e99d9c4f98d8956cb248d8793ea1de4fbb0d53b150663295298ddf2c1477acc
CREXDATA_Innsbruck,simulation-d34f8642-e3bd-444e-a503-6e249ba47e31,4,deepwaive-5.1,60.0,90.0,CREXDATA_Innsbruck/simulation-d34f8642-e3bd-444e-a503-6e249ba47e31/max_water_levels.tif,3389867,e70dc10b7a1f5be1dc633b5095a581343efbea06acbf00104370d52bef5b4bf5
CREXDATA_Innsbruck,simulation-ddab0a82-b968-4893-9cb9-9340f68fee5d,1,deepwaive-5.1,87.6,26.3,CREXDATA_Innsbruck/simulation-ddab0a82-b968-4893-9cb9-9340f68fee5d/max_water_levels.tif,21425411,d2bab67bbe0cd8322c416576e6a4510874312fcb76eb601e19b5a69deb45acd3
CREXDATA_Innsbruck,simulation-e42ee7a7-1969-4957-9c72-ff124a7493fe,4,deepwaive-5.1,30.0,35.0,CREXDATA_Innsbruck/simulation-e42ee7a7-1969-4957-9c72-ff124a7493fe/max_water_levels.tif,2485486,383e4aecd530fa10ab195c7b1cdf30b1f493ed123f69843ad7e1af21a2019e1a
